RIVOLI;VOIE;MINIMUM_PAIR;MAXIMUM_PAIR;MINIMUM_IMPAIR;MAXIMUM_IMPAIR;NUM_BV;BUREAU_DE_VOTE
0720;BITCHE (RUE);12;22;5;31;6;FOYER RENE-CLAIR
0725;BLAISE PASCAL (PLACE);2;10;1;9;15;RESTAURANT SCOLAIRE FERDINAND-BUISSON
0730;BLANCHARD (RUE);2;12;1;11;68;RESTAURANT SCOLAIRE JULES FERRY
0735;BLANCHISSERIE (RUE DE LA);2;50;1;55;89;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
0740;BLAVETTE (IMPASSE);4;28;1;37;85;ECOLE MATERNELLE PAULINE KERGOMARD
0745;BLEUETS (RUE DES);2;58;1;59;71;RESTAURANT SCOLAIRE BERTHE HUBERT
5567;BOB WOLLEK (RUE);6;44;13;33;56;ECOLE PRIMAIRE GUY MOQUET
5567;BOB WOLLEK (RUE);;;5;9;55;ECOLE PRIMAIRE GUY MOQUET
0748;BOBBY SANDS (BOULEVARD);2;14;;;26;ECOLE PRIMAIRE CLAIREFONTAINE
0749;BOBETTE (CITE);2;22;;;15;RESTAURANT SCOLAIRE FERDINAND-BUISSON
0750;BOBILLOT (RUE);8;54;13;75;45;RESTAURANT SCOLAIRE JEAN MACE
3018;BOETIE (ALLEE DE LA);4;28;1;25;25;ECOLE PRIMAIRE CLAIREFONTAINE
0751;BOEUFS (CHEMIN AUX);6;24;1;27;60;RESTAURANT SCOLAIRE LOUIS BLERIOT
0752;BOGOTA (PLACE DE);2;32;;;34;RESTAURANT SCOLAIRE DU PLATEAU
0754;BOHEME (ALLEE DE);6;14;3;15;28;RESTAURANT SCOLAIRE PRIMAIRE RENE DESCARTES
0753;BOILEAU (RUE);2;10;1;13;11;ECOLE MATERNELLE RENE-DESCARTES
0755;BOITARD (RUE);6;30;1;1;50;RESTAURANT SCOLAIRE MAUBOUSSIN
0760;BOITOUT (RUE);;;1;7;66;RESTAURANT SCOLAIRE JULES FERRY
0765;BOLLEE (AVENUE);2;62;;;9;ECOLE MATERNELLE FRANCOIS-RABELAIS
